employee_number,department,job_role,over_time,tenure_band,salary_band,monthly_income,annual_salary,attrition_probability,risk_tier,flagged
411,Sales,Sales Representative,No,0-2 yrs,Low,1200,14400,0.9595,High,Yes
2021,Sales,Sales Representative,Yes,2-5 yrs,Low,2380,28560,0.8948,High,Yes
1974,Research & Development,Laboratory Technician,Yes,0-2 yrs,Low,1129,13548,0.8877,High,Yes
1056,Sales,Sales Representative,No,0-2 yrs,Low,1052,12624,0.796,High,Yes
643,Research & Development,Laboratory Technician,No,0-2 yrs,Low,2127,25524,0.72,High,Yes
1839,Research & Development,Research Scientist,No,0-2 yrs,Low,1514,18168,0.7171,High,Yes
833,Research & Development,Manufacturing Director,Yes,0-2 yrs,High,6877,82524,0.669,High,Yes
1036,Sales,Sales Executive,Yes,0-2 yrs,High,6861,82332,0.584,High,Yes
1961,Sales,Sales Representative,No,0-2 yrs,Low,2858,34296,0.5776,High,Yes
399,Sales,Sales Representative,No,2-5 yrs,Low,2789,33468,0.575,High,Yes
1646,Research & Development,Research Scientist,Yes,5-10 yrs,Mid,3760,45120,0.5738,High,Yes
144,Research & Development,Laboratory Technician,No,0-2 yrs,Low,2871,34452,0.5697,High,Yes
1198,Research & Development,Laboratory Technician,No,2-5 yrs,Low,3033,36396,0.5501,High,Yes
1030,Research & Development,Laboratory Technician,No,0-2 yrs,Low,2380,28560,0.5481,High,Yes
1495,Sales,Sales Representative,No,0-2 yrs,Low,2033,24396,0.5205,High,Yes
1448,Research & Development,Research Scientist,Yes,2-5 yrs,Low,2127,25524,0.5174,High,Yes
1581,Research & Development,Research Scientist,No,0-2 yrs,Low,2061,24732,0.5165,High,Yes
1391,Sales,Sales Executive,No,2-5 yrs,Very High,10596,127152,0.5158,High,Yes
764,Research & Development,Healthcare Representative,No,5-10 yrs,High,6811,81732,0.5094,High,Yes
1865,Human Resources,Human Resources,No,0-2 yrs,Low,2804,33648,0.508,High,Yes
1296,Research & Development,Laboratory Technician,Yes,2-5 yrs,Mid,3867,46404,0.505,High,Yes
54,Research & Development,Laboratory Technician,No,0-2 yrs,Low,2341,28092,0.5045,High,Yes
934,Research & Development,Laboratory Technician,No,0-2 yrs,Low,2008,24096,0.4995,High,Yes
1551,Research & Development,Laboratory Technician,No,0-2 yrs,Low,2296,27552,0.4936,High,Yes
910,Human Resources,Human Resources,Yes,2-5 yrs,Low,2277,27324,0.4927,High,Yes
954,Sales,Sales Executive,No,0-2 yrs,Very High,9705,116460,0.4901,High,Yes
379,Research & Development,Research Scientist,No,2-5 yrs,Mid,3230,38760,0.4707,High,Yes
832,Research & Development,Laboratory Technician,No,0-2 yrs,Mid,5094,61128,0.4706,High,Yes
424,Human Resources,Human Resources,No,2-5 yrs,High,6410,76920,0.4706,High,Yes
434,Research & Development,Research Scientist,Yes,2-5 yrs,Low,2478,29736,0.4612,High,Yes
113,Sales,Sales Representative,No,0-2 yrs,Low,2322,27864,0.4527,High,Yes
1269,Research & Development,Research Scientist,Yes,0-2 yrs,Low,2994,35928,0.4492,Medium,No
22,Research & Development,Laboratory Technician,Yes,0-2 yrs,Low,2935,35220,0.4277,Medium,No
201,Research & Development,Laboratory Technician,No,0-2 yrs,Low,1483,17796,0.4213,Medium,No
1720,Research & Development,Research Scientist,No,5-10 yrs,Mid,3433,41196,0.4172,Medium,No
744,Research & Development,Laboratory Technician,No,5-10 yrs,Mid,3708,44496,0.3983,Medium,No
1224,Research & Development,Laboratory Technician,No,10+ yrs,Mid,3491,41892,0.3825,Medium,No
1950,Sales,Sales Executive,No,10+ yrs,Very High,9888,118656,0.3731,Medium,No
1735,Research & Development,Laboratory Technician,No,2-5 yrs,Mid,3295,39540,0.368,Medium,No
618,Sales,Sales Executive,No,0-2 yrs,Mid,4306,51672,0.3517,Medium,No
854,Research & Development,Research Scientist,No,2-5 yrs,Mid,3424,41088,0.3495,Medium,No
974,Sales,Sales Representative,No,2-5 yrs,Low,2157,25884,0.3457,Medium,No
1173,Research & Development,Laboratory Technician,No,2-5 yrs,Mid,3597,43164,0.3414,Medium,No
1613,Sales,Sales Executive,No,5-10 yrs,High,5332,63984,0.3411,Medium,No
1193,Research & Development,Research Scientist,No,0-2 yrs,Low,2552,30624,0.3351,Medium,No
846,Sales,Sales Executive,Yes,5-10 yrs,Mid,4779,57348,0.3339,Medium,No
885,Sales,Sales Executive,No,5-10 yrs,Mid,4256,51072,0.3319,Medium,No
1753,Research & Development,Healthcare Representative,Yes,2-5 yrs,High,6294,75528,0.3226,Medium,No
1650,Sales,Sales Executive,No,5-10 yrs,High,5869,70428,0.3102,Medium,No
2010,Research & Development,Laboratory Technician,No,5-10 yrs,Low,2837,34044,0.3074,Medium,No
1070,Sales,Sales Executive,No,5-10 yrs,Very High,10686,128232,0.3049,Medium,No
1680,Sales,Sales Representative,No,2-5 yrs,Low,2728,32736,0.301,Medium,No
1226,Sales,Sales Representative,No,2-5 yrs,Low,2678,32136,0.3008,Medium,No
62,Sales,Sales Executive,Yes,5-10 yrs,High,5772,69264,0.2963,Medium,No
1756,Sales,Sales Executive,No,10+ yrs,Mid,5147,61764,0.2952,Medium,No
1286,Research & Development,Laboratory Technician,Yes,2-5 yrs,Low,2154,25848,0.2915,Medium,No
75,Research & Development,Laboratory Technician,Yes,2-5 yrs,Mid,4014,48168,0.289,Medium,No
72,Sales,Sales Executive,Yes,2-5 yrs,Mid,4157,49884,0.2889,Medium,No
7,Research & Development,Laboratory Technician,No,2-5 yrs,Mid,3468,41616,0.2871,Medium,No
1396,Sales,Sales Executive,Yes,2-5 yrs,Mid,4078,48936,0.2857,Medium,No
1496,Research & Development,Manufacturing Director,Yes,2-5 yrs,Very High,10209,122508,0.285,Medium,No
1908,Sales,Sales Executive,No,2-5 yrs,High,5507,66084,0.2831,Medium,No
1258,Research & Development,Laboratory Technician,No,0-2 yrs,Low,2559,30708,0.2794,Medium,No
2053,Research & Development,Laboratory Technician,Yes,2-5 yrs,Mid,4025,48300,0.2759,Medium,No
1131,Research & Development,Research Scientist,Yes,2-5 yrs,Low,2070,24840,0.2719,Medium,No
436,Sales,Sales Executive,Yes,10+ yrs,High,5228,62736,0.2708,Medium,No
1641,Research & Development,Manufacturing Director,Yes,2-5 yrs,High,7945,95340,0.2699,Medium,No
1647,Research & Development,Research Scientist,No,2-5 yrs,Mid,3517,42204,0.2693,Medium,No
1409,Research & Development,Laboratory Technician,No,5-10 yrs,Low,2950,35400,0.2662,Medium,No
1992,Research & Development,Laboratory Technician,Yes,2-5 yrs,Mid,3977,47724,0.2625,Medium,No
1329,Sales,Sales Executive,No,10+ yrs,High,6151,73812,0.2555,Medium,No
1515,Research & Development,Healthcare Representative,Yes,0-2 yrs,High,6388,76656,0.2533,Medium,No
1254,Sales,Sales Executive,No,5-10 yrs,Mid,5171,62052,0.2518,Medium,No
437,Sales,Sales Executive,Yes,5-10 yrs,Mid,4478,53736,0.2509,Medium,No
1558,Research & Development,Research Scientist,No,0-2 yrs,Low,2451,29412,0.2483,Low,No
1619,Research & Development,Laboratory Technician,No,5-10 yrs,Mid,4066,48792,0.2468,Low,No
61,Research & Development,Research Scientist,No,0-2 yrs,Low,3022,36264,0.2428,Low,No
1543,Research & Development,Research Scientist,No,10+ yrs,Mid,4285,51420,0.2422,Low,No
1303,Research & Development,Research Scientist,No,2-5 yrs,Low,2096,25152,0.2407,Low,No
686,Research & Development,Laboratory Technician,Yes,2-5 yrs,Low,2659,31908,0.2401,Low,No
2003,Research & Development,Laboratory Technician,Yes,2-5 yrs,Low,2660,31920,0.2396,Low,No
732,Sales,Sales Executive,No,2-5 yrs,High,5405,64860,0.2386,Low,No
2054,Research & Development,Research Scientist,No,5-10 yrs,Mid,3785,45420,0.2374,Low,No
1883,Research & Development,Laboratory Technician,No,2-5 yrs,Low,2062,24744,0.2347,Low,No
1987,Human Resources,Human Resources,No,2-5 yrs,Low,2187,26244,0.2337,Low,No
1724,Research & Development,Manufacturing Director,Yes,0-2 yrs,High,6516,78192,0.2308,Low,No
1478,Sales,Sales Executive,No,10+ yrs,Mid,4759,57108,0.2297,Low,No
1481,Sales,Sales Executive,No,0-2 yrs,Mid,4768,57216,0.2296,Low,No
30,Research & Development,Research Scientist,No,0-2 yrs,Low,1232,14784,0.229,Low,No
269,Research & Development,Laboratory Technician,No,5-10 yrs,Mid,4425,53100,0.2278,Low,No
1657,Sales,Sales Representative,No,2-5 yrs,Low,2783,33396,0.2272,Low,No
912,Research & Development,Laboratory Technician,No,2-5 yrs,Low,2532,30384,0.2254,Low,No
120,Sales,Sales Executive,Yes,10+ yrs,High,5441,65292,0.2234,Low,No
1710,Sales,Sales Representative,No,10+ yrs,Mid,4502,54024,0.2203,Low,No
1678,Sales,Sales Executive,Yes,2-5 yrs,High,7082,84984,0.2196,Low,No
1125,Sales,Sales Executive,No,0-2 yrs,High,7351,88212,0.2175,Low,No
475,Sales,Sales Executive,Yes,2-5 yrs,Mid,4736,56832,0.2173,Low,No
1055,Sales,Sales Representative,Yes,0-2 yrs,Low,2220,26640,0.2154,Low,No
773,Research & Development,Research Scientist,Yes,0-2 yrs,Low,3057,36684,0.2144,Low,No
2068,Research & Development,Laboratory Technician,No,2-5 yrs,Mid,4404,52848,0.2137,Low,No
2046,Sales,Sales Executive,No,5-10 yrs,Mid,4850,58200,0.2126,Low,No
758,Research & Development,Laboratory Technician,No,2-5 yrs,Low,2500,30000,0.2125,Low,No
812,Research & Development,Laboratory Technician,No,0-2 yrs,Low,2694,32328,0.2124,Low,No
749,Sales,Sales Representative,No,0-2 yrs,Low,2642,31704,0.2122,Low,No
518,Research & Development,Manufacturing Director,Yes,0-2 yrs,Mid,4197,50364,0.2107,Low,No
1864,Sales,Sales Representative,No,5-10 yrs,Mid,3540,42480,0.2093,Low,No
913,Research & Development,Research Scientist,Yes,5-10 yrs,Low,2559,30708,0.2088,Low,No
284,Research & Development,Research Scientist,Yes,2-5 yrs,Low,2328,27936,0.206,Low,No
311,Sales,Sales Representative,No,5-10 yrs,Low,2793,33516,0.2041,Low,No
803,Research & Development,Manufacturing Director,Yes,10+ yrs,High,5980,71760,0.2031,Low,No
451,Research & Development,Healthcare Representative,No,0-2 yrs,Very High,9985,119820,0.2023,Low,No
645,Sales,Sales Representative,No,5-10 yrs,Low,2096,25152,0.2015,Low,No
868,Sales,Sales Executive,No,0-2 yrs,High,6334,76008,0.1999,Low,No
1762,Research & Development,Research Scientist,No,0-2 yrs,Low,2109,25308,0.1999,Low,No
2040,Human Resources,Human Resources,Yes,5-10 yrs,Very High,8837,106044,0.1988,Low,No
925,Sales,Sales Representative,Yes,2-5 yrs,Mid,3294,39528,0.1986,Low,No
652,Research & Development,Laboratory Technician,No,2-5 yrs,Mid,3681,44172,0.1975,Low,No
1654,Research & Development,Manufacturing Director,No,5-10 yrs,High,5295,63540,0.1973,Low,No
862,Sales,Sales Executive,Yes,5-10 yrs,Very High,10934,131208,0.197,Low,No
604,Sales,Sales Executive,Yes,5-10 yrs,High,6582,78984,0.1966,Low,No
1244,Research & Development,Research Scientist,Yes,5-10 yrs,Low,2235,26820,0.1959,Low,No
1492,Sales,Sales Representative,No,0-2 yrs,Low,2404,28848,0.1929,Low,No
904,Sales,Sales Executive,Yes,10+ yrs,High,7642,91704,0.1907,Low,No
446,Sales,Sales Executive,No,5-10 yrs,Mid,4682,56184,0.1905,Low,No
183,Sales,Sales Executive,No,2-5 yrs,High,8639,103668,0.1905,Low,No
1154,Research & Development,Research Scientist,Yes,2-5 yrs,Low,2703,32436,0.1861,Low,No
792,Research & Development,Laboratory Technician,No,2-5 yrs,Mid,4364,52368,0.1857,Low,No
1605,Research & Development,Research Scientist,Yes,2-5 yrs,Low,2814,33768,0.1851,Low,No
1918,Research & Development,Laboratory Technician,No,5-10 yrs,Low,2544,30528,0.1821,Low,No
527,Sales,Sales Executive,Yes,5-10 yrs,Mid,4487,53844,0.1817,Low,No
1049,Human Resources,Human Resources,No,5-10 yrs,Low,2177,26124,0.1816,Low,No
1681,Sales,Sales Executive,Yes,5-10 yrs,High,5368,64416,0.1808,Low,No
1659,Research & Development,Laboratory Technician,No,2-5 yrs,Low,2013,24156,0.1807,Low,No
1853,Sales,Sales Executive,No,0-2 yrs,Mid,4648,55776,0.1796,Low,No
1453,Sales,Sales Executive,No,10+ yrs,Very High,10793,129516,0.1785,Low,No
1001,Research & Development,Laboratory Technician,No,2-5 yrs,Low,2811,33732,0.1778,Low,No
1577,Research & Development,Research Scientist,No,0-2 yrs,Low,2972,35664,0.1775,Low,No
1502,Research & Development,Laboratory Technician,No,5-10 yrs,Mid,3838,46056,0.1772,Low,No
1136,Research & Development,Research Scientist,No,5-10 yrs,Low,3201,38412,0.1767,Low,No
591,Research & Development,Laboratory Technician,No,2-5 yrs,Low,2093,25116,0.1747,Low,No
79,Research & Development,Laboratory Technician,No,10+ yrs,Low,2406,28872,0.1746,Low,No
2019,Sales,Sales Representative,No,5-10 yrs,Mid,3482,41784,0.1735,Low,No
602,Research & Development,Laboratory Technician,No,5-10 yrs,Mid,3755,45060,0.1724,Low,No
39,Research & Development,Laboratory Technician,No,0-2 yrs,Low,2496,29952,0.1718,Low,No
1234,Research & Development,Laboratory Technician,No,2-5 yrs,Low,2743,32916,0.1705,Low,No
1856,Research & Development,Laboratory Technician,No,2-5 yrs,Low,2105,25260,0.1701,Low,No
746,Sales,Sales Executive,Yes,10+ yrs,Very High,13770,165240,0.1682,Low,No
390,Research & Development,Healthcare Representative,Yes,5-10 yrs,Mid,4741,56892,0.1682,Low,No
1297,Research & Development,Laboratory Technician,No,5-10 yrs,Low,2838,34056,0.1674,Low,No
11,Research & Development,Laboratory Technician,No,0-2 yrs,Low,2693,32316,0.1647,Low,No
2060,Sales,Sales Representative,No,2-5 yrs,Low,2966,35592,0.1645,Low,No
396,Research & Development,Research Director,Yes,2-5 yrs,Very High,18665,223980,0.1626,Low,No
1929,Sales,Sales Executive,No,2-5 yrs,High,5736,68832,0.162,Low,No
1368,Research & Development,Laboratory Technician,No,0-2 yrs,Low,1611,19332,0.1609,Low,No
2020,Research & Development,Research Scientist,Yes,2-5 yrs,Low,2436,29232,0.1593,Low,No
277,Research & Development,Research Scientist,Yes,5-10 yrs,Mid,3815,45780,0.159,Low,No
549,Research & Development,Manager,No,10+ yrs,Very High,19566,234792,0.1588,Low,No
1916,Research & Development,Laboratory Technician,No,2-5 yrs,Mid,3978,47736,0.1579,Low,No
837,Research & Development,Healthcare Representative,No,2-5 yrs,High,6288,75456,0.1574,Low,No
1642,Human Resources,Human Resources,Yes,10+ yrs,High,5743,68916,0.1564,Low,No
1924,Sales,Sales Executive,No,10+ yrs,High,5487,65844,0.1564,Low,No
656,Sales,Sales Executive,Yes,2-5 yrs,Very High,9602,115224,0.1558,Low,No
772,Research & Development,Laboratory Technician,No,10+ yrs,High,5309,63708,0.154,Low,No
766,Sales,Sales Representative,No,2-5 yrs,Low,2297,27564,0.1526,Low,No
1669,Sales,Sales Executive,Yes,10+ yrs,Mid,4187,50244,0.1513,Low,No
49,Sales,Sales Representative,No,2-5 yrs,Low,2014,24168,0.151,Low,No
466,Research & Development,Manufacturing Director,Yes,5-10 yrs,High,6032,72384,0.1503,Low,No
1135,Sales,Sales Representative,No,2-5 yrs,Low,2791,33492,0.1495,Low,No
682,Sales,Sales Executive,No,10+ yrs,High,8381,100572,0.149,Low,No
1292,Research & Development,Research Scientist,Yes,0-2 yrs,Low,2372,28464,0.1485,Low,No
933,Research & Development,Research Scientist,No,0-2 yrs,Low,2318,27816,0.1481,Low,No
