employee_number,attrition_probability,risk_tier
1,0.9327,High
2,0.054,Low
4,0.6503,High
5,0.0527,Low
7,0.2871,Medium
8,0.0313,Low
10,0.1428,Low
11,0.1647,Low
12,0.0624,Low
13,0.0222,Low
14,0.0466,Low
15,0.0537,Low
16,0.0503,Low
18,0.015,Low
19,0.9819,High
20,0.0407,Low
21,0.0122,Low
22,0.4277,Medium
23,0.0154,Low
24,0.0756,Low
26,0.0064,Low
27,0.2812,Medium
28,0.0102,Low
30,0.229,Low
31,0.0581,Low
32,0.0048,Low
33,0.9814,High
35,0.0269,Low
36,0.0073,Low
38,0.0283,Low
39,0.1718,Low
40,0.0099,Low
41,0.084,Low
42,0.8771,High
45,0.9476,High
46,0.0012,Low
47,0.5062,High
49,0.151,Low
51,0.0687,Low
52,0.0145,Low
53,0.1072,Low
54,0.5045,High
55,0.9678,High
56,0.072,Low
57,0.1012,Low
58,0.0108,Low
60,0.043,Low
61,0.2428,Low
62,0.2963,Medium
63,0.0445,Low
64,0.9567,High
65,0.9382,High
68,0.0238,Low
70,0.0181,Low
72,0.2889,Medium
73,0.0681,Low
74,0.0762,Low
75,0.289,Medium
76,0.0246,Low
77,0.0038,Low
78,0.1144,Low
79,0.1746,Low
80,0.0717,Low
81,0.1185,Low
83,0.013,Low
84,0.0555,Low
85,0.0436,Low
86,0.005,Low
88,0.0287,Low
90,0.0402,Low
91,0.0726,Low
94,0.0017,Low
95,0.113,Low
96,0.0045,Low
97,0.0649,Low
98,0.05,Low
100,0.0201,Low
101,0.0197,Low
102,0.0378,Low
103,0.1426,Low
104,0.0442,Low
105,0.0174,Low
106,0.0746,Low
107,0.0099,Low
110,0.0809,Low
112,0.0698,Low
113,0.4527,High
116,0.0475,Low
117,0.0123,Low
118,0.799,High
119,0.0039,Low
120,0.2234,Low
121,0.0184,Low
124,0.0412,Low
125,0.1288,Low
126,0.0124,Low
128,0.0403,Low
129,0.034,Low
131,0.0526,Low
132,0.0275,Low
133,0.9342,High
134,0.0449,Low
137,0.9744,High
138,0.022,Low
139,0.0128,Low
140,0.0046,Low
141,0.063,Low
142,0.8962,High
143,0.0071,Low
144,0.5697,High
145,0.0231,Low
147,0.9491,High
148,0.0377,Low
150,0.0275,Low
151,0.0291,Low
152,0.0606,Low
153,0.0142,Low
154,0.0176,Low
155,0.1378,Low
158,0.0384,Low
159,0.0855,Low
160,0.0348,Low
161,0.1365,Low
162,0.0681,Low
163,0.9653,High
164,0.079,Low
165,0.0055,Low
167,0.9949,High
169,0.0502,Low
170,0.0341,Low
171,0.0478,Low
174,0.0776,Low
175,0.3896,Medium
176,0.056,Low
177,0.116,Low
178,0.0117,Low
179,0.2761,Medium
182,0.0242,Low
183,0.1905,Low
184,0.061,Low
190,0.9531,High
192,0.0511,Low
193,0.0332,Low
194,0.0566,Low
195,0.0611,Low
197,0.0337,Low
198,0.0484,Low
199,0.0299,Low
200,0.0217,Low
201,0.4213,Medium
202,0.0239,Low
204,0.1001,Low
205,0.0934,Low
206,0.0711,Low
207,0.0903,Low
208,0.0177,Low
211,0.0545,Low
214,0.025,Low
215,0.0656,Low
216,0.1188,Low
217,0.0531,Low
218,0.0675,Low
221,0.0307,Low
223,0.0386,Low
224,0.0478,Low
226,0.0244,Low
227,0.051,Low
228,0.025,Low
230,0.0795,Low
231,0.0141,Low
233,0.0205,Low
235,0.963,High
238,0.0802,Low
239,0.0239,Low
240,0.1,Low
241,0.0172,Low
242,0.0121,Low
243,0.9442,High
244,0.015,Low
245,0.0693,Low
246,0.0395,Low
247,0.0321,Low
248,0.4413,Medium
249,0.0114,Low
250,0.0154,Low
252,0.0043,Low
253,0.0061,Low
254,0.0153,Low
256,0.0122,Low
258,0.0177,Low
259,0.0163,Low
260,0.0953,Low
261,0.9401,High
262,0.0038,Low
264,0.0078,Low
267,0.0455,Low
269,0.2278,Low
270,0.0036,Low
271,0.0178,Low
273,0.0968,Low
274,0.1308,Low
275,0.0674,Low
277,0.159,Low
281,0.0906,Low
282,0.9571,High
283,0.8684,High
284,0.206,Low
286,0.1017,Low
287,0.008,Low
288,0.0343,Low
291,0.9211,High
292,0.0117,Low
293,0.0271,Low
296,0.0399,Low
297,0.9113,High
298,0.0147,Low
299,0.9776,High
300,0.0127,Low
302,0.0478,Low
303,0.0322,Low
304,0.0649,Low
305,0.0847,Low
306,0.0862,Low
307,0.0115,Low
308,0.003,Low
309,0.0195,Low
311,0.2041,Low
312,0.0114,Low
314,0.0851,Low
315,0.7055,High
316,0.0458,Low
319,0.008,Low
321,0.1303,Low
323,0.0031,Low
325,0.9704,High
327,0.0105,Low
328,0.9126,High
329,0.0929,Low
330,0.13,Low
331,0.1317,Low
332,0.0325,Low
333,0.0311,Low
334,0.0886,Low
335,0.0346,Low
336,0.0012,Low
337,0.0388,Low
338,0.0055,Low
339,0.0255,Low
340,0.0224,Low
341,0.0072,Low
342,0.8993,High
343,0.0399,Low
346,0.0544,Low
347,0.0333,Low
349,0.0347,Low
350,0.0084,Low
351,0.0867,Low
352,0.0012,Low
353,0.0353,Low
355,0.9216,High
359,0.1203,Low
361,0.0201,Low
362,0.0988,Low
363,0.1346,Low
364,0.9571,High
366,0.0396,Low
367,0.0215,Low
369,0.0102,Low
372,0.0118,Low
373,0.004,Low
374,0.0698,Low
376,0.9144,High
377,0.0069,Low
378,0.0345,Low
379,0.4707,High
380,0.0038,Low
381,0.0122,Low
382,0.11,Low
384,0.0636,Low
385,0.0166,Low
386,0.0238,Low
387,0.0218,Low
388,0.1238,Low
389,0.0716,Low
390,0.1682,Low
391,0.0026,Low
392,0.9672,High
393,0.0111,Low
394,0.9432,High
395,0.0071,Low
396,0.1626,Low
397,0.0869,Low
399,0.575,High
401,0.5223,High
403,0.1408,Low
404,0.0559,Low
405,0.9621,High
406,0.0163,Low
407,0.0479,Low
408,0.0417,Low
410,0.0148,Low
411,0.9595,High
412,0.1075,Low
416,0.0287,Low
417,0.017,Low
419,0.0241,Low
420,0.0101,Low
421,0.0111,Low
422,0.0126,Low
423,0.0191,Low
424,0.4706,High
425,0.0708,Low
